Step | IdNextCity | Distance
1 | 2533 | 0.05099019513593025
2 | 3483 | 0.09219544457293057
3 | 622 | 0.050990195135926064
4 | 6044 | 0.01999999999999602
5 | 3759 | 0.058309518948451156
6 | 1442 | 0.1063014581273454
7 | 4242 | 0.06708203932499623
8 | 5952 | 0.11045361017187186
9 | 2626 | 0.09219544457293057
10 | 2544 | 0.08062257748298356
11 | 815 | 0.10000000000000142
12 | 3473 | 0.028284271247466325
13 | 5329 | 0.05099019513593025
14 | 1602 | 0.044721359549993255
15 | 2344 | 0.06082762530298528
16 | 5551 | 0.12806248474865148
17 | 1970 | 0.06708203932499623
18 | 5957 | 0.030000000000001137
19 | 2786 | 0.014142135623733162
20 | 2541 | 0.10295630140986263
21 | 1000 | 0.04472135955000279
22 | 1449 | 0.04123105625617702
23 | 3869 | 0.06324555320337073
24 | 5766 | 0.06082762530297827
25 | 1097 | 0.020000000000003126
26 | 4182 | 0.030000000000001137
27 | 2869 | 0.09848857801795083
28 | 2408 | 0.050990195135926064
29 | 4810 | 0.08062257748298884
30 | 4508 | 0.053851648071356756
31 | 2576 | 0.06324555320336848
32 | 928 | 0.13601470508735714
33 | 4373 | 0.2002498439450106
34 | 3229 | 0.05
35 | 1072 | 0.03999999999999204
36 | 5545 | 0.0538516480713528
37 | 3739 | 0.0412310562561684
38 | 850 | 0.00999999999999801
39 | 4129 | 0.0761577310586398
40 | 3835 | 0.05
41 | 4676 | 0.04123105625617702
42 | 3758 | 0.1
43 | 4776 | 0.09055385138137734
44 | 4135 | 0.18110770276275467
45 | 5592 | 0.0640312423743213
46 | 3255 | 0.08062257748298268
47 | 767 | 0.09999999999999716
48 | 3723 | 0.11401754250990981
49 | 403 | 0.12165525060595538
50 | 4221 | 0.05385164807134093
51 | 573 | 0.11313708498985524
52 | 2885 | 0.08944271909998967
53 | 4367 | 0.03162277660168424
54 | 5362 | 0.06324555320337298
55 | 5887 | 0.09219544457293057
56 | 3318 | 0.06708203932498988
57 | 3695 | 0.2012461179749855
58 | 1799 | 0.06082762530298528
59 | 282 | 0.060000000000002274
60 | 3766 | 0.050000000000005686
61 | 5268 | 0.036055512754638634
62 | 349 | 0.0761577310586398
63 | 3556 | 0.08544003745317412
64 | 5066 | 0.03605551275464652
65 | 726 | 0.08062257748298268
66 | 359 | 0.060000000000002274
67 | 1152 | 0.04999999999999431
68 | 807 | 0.053851648071343565
69 | 4378 | 0.05656854249491757
70 | 613 | 0.07000000000000028
71 | 2129 | 0.06403124237433018
72 | 3562 | 0.07810249675905556
73 | 51 | 0.0707106781186658
74 | 2044 | 0.07211102550928121
75 | 3568 | 0.09219544457293596
76 | 1784 | 0.18973665961009423
77 | 4757 | 0.18027756377320184
78 | 64 | 0.21213203435596525
79 | 253 | 0.10440306508910718
80 | 2311 | 0.08544003745317412
81 | 3053 | 0.11401754250990108
82 | 1623 | 0.1431782106327668
83 | 4345 | 0.12083045973594696
84 | 1703 | 0.08246211251235404
85 | 515 | 0.08246211251236438
